x,y
1.01,9.75
2.57,19.26
1.68,13.05
1.81,12.88
9.01,43.92
3.86,17.05
2.14,10.8
1.86,10.8
1.39,9.36
3.08,13.3
1.58,11.62
2.96,17.3
0.86,6.3
1.2,9.36
1.24,8.3
1.95,15.66
2.28,17.46
2.2,13.5
7.56,37.26
3.14,15.55
2.43,13.3
3.25,21.06
0.0,25.0
17.34,59.8
3.08,22.17
6.23,21.8
1.89,9.38
1.38,9.3
2.83,19.61
0.82,6.8
2.5,13.3
3.37,17.55
1.77,9.8
9.52,35.3
3.23,18.96
0.93,6.3
0.0,33.45
1.53,8.8
1.43,8.8
3.5,21.55
0.0,3.3
0.69,5.3
3.28,15.05
1.03,6.3
2.61,15.05
0.58,7.8
8.56,32.35
1.14,8.3
0.64,6.36
2.43,14.05
5.1,25.3
1.62,11.05
0.43,8.19
1.41,8.3
0.03,3.3
1.8,12.05
1.27,9.8
1.07,7.8
6.8,29.55
0.75,6.3
1.69,11.55
1.1,10.3
2.5,16.05
1.0,6.96
2.0,13.56
1.1,8.3
5.9,30.06
3.14,14.8
0.04,3.3
0.82,7.82
2.6,13.3
2.8,12.3
2.1,11.75
2.82,11.8
23.7,83.35
1.04,20.8
0.99,9.36
21.58,75.8
0.96,10.3
0.0,11.0
0.24,4.3
1.06,7.8
0.93,14.46
3.93,26.94
1.12,5.8
0.45,5.3
2.46,11.8
1.08,6.8
7.52,23.3
5.6,23.55
2.7,15.3
7.48,32.46
5.2,29.55
3.12,18.55
0.67,6.89
2.66,17.65
0.75,6.3
1.73,10.56
0.98,6.8
1.95,15.66
1.52,12.09
0.61,7.3
6.34,23.3
5.16,25.05
4.0,15.8
0.0,16.0
3.5,17.75
17.6,59.35
7.3,32.15
0.0,11.0
0.0,19.0
1.88,15.05
0.64,5.8
0.49,4.8
3.63,19.55
0.7,5.3
0.0,25.3
3.45,15.96
6.22,30.35
8.79,43.85
0.01,3.3
2.68,18.66
0.71,13.05
0.83,6.89
2.08,16.26
0.84,7.8
3.55,19.55
2.93,13.8
0.86,7.3
0.0,2.8
1.56,8.8
0.9,6.3
5.56,26.55
3.25,17.55
0.47,23.3
5.94,30.0
1.4,7.8
5.87,28.55
0.0,33.55
0.78,6.3
0.38,4.8
3.54,16.8
1.75,15.01
0.73,6.62
1.17,7.8
1.77,14.05
1.9,11.8
0.23,35.0
0.59,7.3
0.9,7.8
1.29,12.41
2.33,12.3
14.66,55.9
0.02,3.3
1.16,8.8
0.74,6.3
1.28,7.8
1.67,14.37
1.4,8.3
3.01,15.96
2.1,14.76
4.01,25.55
11.6,39.55
1.0,7.3
0.0,0.0
5.0,31.55
4.51,22.3
2.03,12.55
4.06,24.66
0.0,35.0
3.29,18.05
1.0,8.5
1.33,10.05
1.62,13.05
6.66,29.16
1.05,9.8
2.15,18.27
0.0,6.05
4.47,18.74
4.87,21.8
5.01,17.8
3.62,24.66
1.29,10.56
1.87,13.05
1.25,6.8
2.1,12.8
9.4,27.8
1.04,7.8
1.55,17.16
1.1,8.16
1.79,10.8
1.44,8.3
0.51,6.3
2.13,14.8
0.5,6.96
0.0,27.0
14.11,60.1
1.14,6.8
2.0,12.3
2.1,18.05
7.0,25.8
1.04,7.3
0.95,6.3
1.73,14.55
8.27,30.3
2.07,14.16
0.0,8.0
0.0,50.0
0.48,7.56
4.09,19.8
0.0,12.53
0.0,14.0
0.95,6.8
4.1,22.55
17.27,63.35
7.31,33.35
3.68,20.54
1.7,18.05
0.9,6.3
1.17,13.81
1.74,9.8
5.55,33.66
1.34,8.8
0.85,8.16
2.22,9.3
2.6,10.8
3.57,20.05
27.7,81.85
0.0,12.3
1.48,8.8
1.42,9.3
1.58,10.12
0.35,4.3
1.56,10.56
24.8,115.85
0.8,5.8
0.0,14.0
0.72,7.56
11.81,44.8
6.3,24.55
0.9,6.8
0.0,27.0
0.0,25.0
1.27,9.3
0.78,10.55
1.3,8.3
5.38,24.66
10.67,47.46
2.27,14.3
1.52,11.16
16.71,66.05
4.61,31.8
2.32,19.86
0.87,7.56
1.88,15.67
17.98,50.8
4.23,19.05
1.22,7.8
1.67,12.55
1.16,8.76
5.56,23.79
3.29,14.8
3.23,16.8
1.9,11.3
3.05,12.3
0.96,6.35
1.66,18.1
3.03,17.46
0.41,4.8
2.2,13.3
2.45,18.55
7.49,34.86
1.88,11.8
7.3,24.3
0.7,6.3
1.44,14.44
1.49,12.38
1.05,7.3
0.32,4.8
2.7,24.06
1.1,7.8
7.15,25.8
1.0,7.3
7.77,32.8
5.7,27.0
2.11,16.55
0.6,9.66
1.23,7.3
3.15,16.3
0.77,6.0
4.42,28.26
0.71,5.8
0.96,6.8
3.65,19.12
3.1,18.35
1.71,13.56
1.26,9.3
4.91,25.3
5.51,34.8
1.05,8.16
10.51,60.8
1.26,9.36
0.81,6.8
0.8,6.96
5.44,21.3
0.95,8.3
4.8,25.05
0.82,6.3
0.03,3.3
1.09,9.96
2.84,16.55
3.02,17.05
1.83,15.0
0.95,10.05
0.78,6.8
1.1,10.55
0.9,6.8
0.73,6.96
4.67,31.11
1.8,13.05
3.7,14.8
0.0,11.0
2.14,13.8
0.7,5.8
0.0,25.0
4.36,19.8
1.0,8.3
3.5,24.66
1.09,8.76
3.12,21.06
1.63,9.8
1.71,10.8
1.18,8.3
0.41,4.3
0.74,7.3
2.11,16.26
5.86,32.89
1.6,10.35
5.78,28.26
9.51,33.3
2.91,24.44
1.35,12.3
8.29,37.8
2.5,12.8
1.1,6.95
3.78,21.8
1.19,11.62
2.58,23.47
1.03,7.3
0.0,59.35
8.3,42.35
1.4,16.05
0.79,6.8
1.83,9.8
0.48,5.8
0.44,-5.3
0.44,5.3
1.0,12.1
2.58,19.86
7.57,34.35
2.49,14.8
1.89,12.96
1.11,7.8
1.26,7.3
3.74,21.66
2.3,17.45
2.49,19.86
29.22,98.35
1.88,14.05
1.02,6.3
17.62,70.3
2.6,14.8
1.94,11.3
9.53,37.05
0.0,17.0
0.75,12.56
8.84,32.55
1.6,9.8
1.4,9.3
0.0,25.0
0.0,11.0
0.89,6.8
0.97,7.3
5.22,21.62
1.02,8.3
8.14,30.55
0.36,4.8
1.48,11.05
1.39,7.8
2.51,13.8
3.36,19.8
2.34,17.05
2.28,11.3
1.0,9.95
1.57,11.62
2.32,11.3
0.5,18.1
6.48,33.54
0.84,13.26
1.58,12.05
0.0,16.0
1.23,10.05
1.89,10.3
2.64,16.8
15.87,50.85
7.7,37.86
8.45,35.3
3.08,13.8
2.4,16.05
4.07,26.05
0.6,6.36
0.5,4.8
2.57,14.8
2.34,13.3
0.28,4.3
2.8,17.25
2.2,15.8
13.23,46.3
0.0,37.0
9.3,42.3
0.64,6.3
1.91,14.05
1.32,7.3
0.75,5.8
0.55,5.8
1.66,9.3
1.36,11.16
9.19,36.55
12.78,42.3
1.1,8.3
2.43,16.3
2.56,12.8
2.4,16.0
1.53,10.8
19.9,70.35
0.0,3.3
5.91,64.8
0.0,45.55
4.9,18.8
0.0,17.0
3.34,15.3
2.19,12.3
3.16,16.8
0.78,7.56
0.0,15.96
3.9,19.56
4.91,23.8
5.76,24.55
2.37,11.8
2.04,12.8
1.16,12.05
2.4,11.3
3.84,20.05
2.6,14.76
25.0,95.85
4.3,25.55
2.3,14.16
0.9,6.8
4.2,24.75
3.93,33.81
1.3,8.8
0.6,7.3
0.38,5.8
2.33,12.3
2.9,15.35
0.98,9.36
0.77,8.8
1.47,11.0
11.99,45.8
1.55,12.36
0.8,12.05
0.8,3.3
0.8,3.3
0.8,3.3
0.8,3.3
0.8,3.3
16.6,69.35
0.14,12.36
0.0,8.3
0.16,12.3
0.91,7.82
1.59,9.8
2.34,15.38
0.82,6.3
0.0,2.9
17.51,79.85
0.69,5.8
1.09,9.3
4.0,18.8
0.08,3.3
2.08,11.3
17.18,71.22
13.74,50.3
6.11,33.87
0.0,31.0
0.0,-3.96
0.0,3.96
1.68,15.45
0.84,6.3
1.88,12.8
0.86,7.54
1.22,9.36
0.0,2.9
0.0,17.0
2.13,9.8
2.57,17.6
0.7,7.0
1.4,8.8
1.77,11.16
0.79,6.3
0.66,6.8
2.03,9.3
1.13,11.3
0.0,0.0
0.0,1.8
0.0,1.9
2.78,14.8
8.98,36.6
0.63,5.8
0.0,23.0
3.76,22.26
1.19,7.8
2.07,11.8
1.8,9.8
1.71,10.8
4.4,26.71
1.6,11.75
2.84,13.3
2.01,10.3
0.0,3.3
5.09,31.05
12.99,51.85
6.96,34.35
1.3,10.3
0.22,4.3
2.13,11.62
1.13,7.3
1.3,11.0
1.37,8.3
1.62,12.3
1.72,9.3
1.39,12.3
0.7,5.3
1.5,13.55
0.9,8.8
2.6,13.3
8.1,36.55
8.51,44.46
0.32,4.3
1.75,12.96
1.18,7.48
0.77,5.8
1.63,14.46
8.6,42.97
1.94,11.76
0.98,8.76
0.0,3.3
2.04,11.8
6.15,34.3
1.35,12.15
1.7,10.3
8.64,48.35
0.01,3.3
0.93,5.8
6.78,26.05
2.04,14.55
2.43,15.55
1.86,13.56
1.31,8.8
3.68,19.3
1.12,13.19
2.78,21.51
0.0,37.0
0.81,6.3
1.56,9.3
0.51,5.8
0.6,6.3
1.1,8.3
1.3,8.3
0.9,6.8
19.58,76.62
0.61,6.3
0.0,23.0
3.13,15.8
1.99,13.8
0.8,8.75
1.0,5.8
16.69,61.75
1.62,12.96
3.43,19.3
0.8,5.8
0.0,14.0
1.14,7.3
0.49,5.3
1.1,9.96
1.19,15.01
1.32,8.8
1.19,6.8
0.71,8.8
0.23,4.3
1.37,9.75
7.49,37.86
9.8,31.8
10.1,42.13
0.68,18.55
0.88,6.3
1.0,8.8
1.72,12.3
7.41,45.06
16.79,69.35
1.32,10.56
2.5,16.05
3.48,18.05
1.33,9.36
7.3,34.25
2.11,10.8
34.28,138.58
0.98,6.8
1.67,11.05
1.73,13.86
1.24,8.16
0.0,3.3
15.54,79.8
1.9,8.8
0.5,4.8
5.5,27.06
16.69,58.8
0.0,27.0
1.35,9.3
0.0,12.05
0.94,6.8
0.72,5.8
0.66,6.8
2.33,12.3
1.32,13.81
7.4,30.05
11.14,48.56
0.0,-4.94
0.0,4.94
1.14,10.56
0.83,5.8
0.66,7.25
2.0,13.3
2.52,18.3
0.0,3.3
0.79,6.3
0.98,10.05
1.34,7.8
1.9,11.8
1.3,9.3
0.95,8.42
1.83,9.8
1.44,11.0
2.49,16.3
6.53,25.8
0.98,8.8
7.56,29.3
2.56,11.8
6.11,31.55
0.44,5.3
1.2,13.85
0.4,10.25
8.6,34.55
0.9,6.8
2.01,13.81
13.57,50.05
3.41,18.8
0.7,8.15
2.9,14.3
2.0,10.3
1.56,7.8
18.78,67.35
2.62,23.8
0.54,5.3
1.48,9.8
3.41,19.55
0.0,23.0
0.0,23.0
1.22,9.55
8.25,35.3
0.97,8.4
1.18,8.8
3.03,16.3
3.29,19.05
2.23,17.46
1.1,9.05
1.24,8.76
2.27,14.05
1.15,10.14
2.5,13.56
1.68,12.05
4.02,25.86
16.42,68.35
10.02,45.55
1.51,10.38
1.08,6.3
1.67,12.8
4.1,25.41
20.6,57.8
2.07,18.19
2.2,13.8
3.0,23.05
1.59,9.3
7.97,27.8
0.0,19.0
0.96,5.8
0.0,14.0
2.05,17.3
1.39,8.81
7.89,36.14
3.35,19.3
2.23,11.8
4.26,21.42
0.0,15.0
5.93,28.3
0.6,11.75
7.8,25.3
2.6,22.05
18.82,91.35
0.0,33.0
1.04,8.8
2.5,12.8
1.6,8.8
0.73,5.3
4.65,22.3
10.14,38.3
3.82,13.8
1.43,11.0
1.1,14.3
1.65,12.55
7.19,33.3
1.23,8.8
22.82,87.85
5.54,30.85
2.4,17.55
1.8,12.35
9.4,32.3
6.41,26.3
1.4,8.0
2.78,19.8
3.48,15.3
26.8,79.25
2.02,18.06
1.12,10.26
3.61,19.55
11.23,50.6
2.21,15.8
8.5,36.9
1.84,12.55
1.15,10.3
3.76,21.3
0.79,8.16
2.66,16.32
2.2,14.05
1.49,8.8
1.82,12.05
3.4,22.8
0.4,4.8
13.05,54.35
1.82,15.06
5.17,20.16
1.52,12.96
1.24,6.8
0.51,17.3
2.37,16.26
18.25,74.35
2.25,14.13
10.22,42.05
11.0,40.3
1.34,10.14
4.12,24.55
9.54,28.8
0.0,4.3
1.63,14.75
2.87,23.46
1.19,11.76
1.31,11.0
1.03,9.3
1.6,13.55
2.95,17.8
16.26,68.85
6.08,30.55
2.54,18.66
2.85,14.8
1.0,8.3
1.5,9.8
4.0,26.05
1.01,12.55
5.1,33.35
3.99,27.37
2.57,16.55
3.5,13.3
4.03,25.3
0.56,6.3
1.02,8.3
12.35,41.8
1.7,10.8
0.75,9.96
2.27,14.3
0.94,11.62
1.16,8.97
1.16,10.38
2.05,16.05
2.25,18.06
0.75,9.3
2.3,12.3
2.3,14.8
2.8,23.45
4.98,28.3
1.44,10.8
5.99,23.3
18.27,73.85
21.26,63.3
1.78,16.64
2.82,14.8
1.33,12.8
1.74,11.3
1.12,9.3
1.99,14.76
0.47,7.24
9.39,42.31
0.0,55.55
25.89,91.35
2.0,13.3
0.67,7.56
0.56,5.8
1.4,12.05
1.22,11.05
0.0,9.96
3.24,18.05
1.85,16.97
0.0,31.0
3.52,18.36
1.8,11.3
7.76,41.8
3.92,19.56
3.96,18.36
2.21,20.16
1.08,8.3
18.9,79.7
17.95,62.8
1.36,12.96
16.19,61.85
1.06,10.05
0.86,10.55
2.78,19.86
1.06,8.8
3.2,18.55
1.3,8.3
4.6,23.8
21.55,83.93
0.01,4.3
2.48,21.06
1.75,16.97
4.35,28.8
0.05,-4.3
0.05,4.3
1.34,12.25
11.85,38.8
16.83,60.85
0.0,10.3
22.48,76.85
0.7,12.36
1.35,12.8
0.0,4.3
2.0,15.05
2.55,21.66
29.64,99.35
4.94,50.3
3.2,18.3
1.9,15.8
5.3,27.3
0.8,7.3
2.8,21.3
22.75,92.35
3.31,20.55
2.9,17.3
1.87,16.3
1.97,12.3
2.74,21.8
5.2,25.8
1.46,13.3
7.58,31.42
0.76,7.3
9.48,37.55
1.96,10.8
0.24,5.8
0.74,7.8
1.45,11.76
0.0,0.0
0.0,0.0
0.0,0.0
0.7,6.3
1.55,14.69
0.77,8.76
4.32,22.55
0.72,8.16
2.39,17.05
2.26,20.46
